athlete_full_name,country_name
Paula Lynn OBANANA,United States of America
Sunok KIM,Republic of Korea
Mihwa SHIN,Republic of Korea
Anna-Maria ALEXANDRI,Austria
Eirini-Marina ALEXANDRI,Austria
Clemens BRACHER,Switzerland
Michael KUONEN,Switzerland
Anita ALVAREZ,United States of America
Mariya KOROLEVA,United States of America
Rico PETER,Switzerland
Juerg EGGER,Switzerland
Simeon HAMILTON,United States of America
Erik BJORNSEN,United States of America
Alexandra PAUL,Canada
Mitchell ISLAM,Canada
Dolores HERNANDEZ,Mexico
Carolina MENDOZA HERNANDEZ,Mexico
Virag BALLA,Hungary
Kincso TAKACS,Hungary
Mathew BELCHER,Australia
Will RYAN,Australia
Evgenia TARASOVA,Olympic Athletes from Russia
Vladimir MOROZOV,Olympic Athletes from Russia
Annika HOCKE,Germany
Ruben BLOMMAERT,Germany
Jeong-Myeong Jo,Republic of Korea
Adrian Ignacio CARAMBULA RAURICH,Italy
Alex RANGHIERI,Italy
Aurimas LANKAS,Lithuania
Edvinas RAMANAUSKAS,Lithuania
Anton DAHLBERG,Sweden
Fredrik BERGSTROM,Sweden
Ilaria DEBERTOLIS,Italy
Gaia VUERICH,Italy
Paige LAWRENCE,Canada
Rudi SWIEGERS,Canada
Kelci BRYANT,United States of America
Abigail JOHNSTON,United States of America
Tina GARABEDIAN,Armenia
Simon PROULX SENECAL,Armenia
Alexander BOLSHUNOV,ROC
Alexander TERENTEV,ROC
Cynthia APPIAH,Canada
Dawn RICHARDSON WILSON,Canada
Niels VAN ZANDWEGHE,Belgium
Tim BRYS,Belgium
Julia SUDE,Germany
Karla BORGER,Germany
Jenny PERRET,Switzerland
Martin Rios,Switzerland
Genevieve ORTON,Canada
Kc FRASER,Canada
Karien ROBBERS,Netherlands
Aletta JORRITSMA,Netherlands
Marian GITLAN,Romania
Darius Lucian SERBAN,Romania
Katerina JANATOVA,Czech Republic
Petra HYNCICOVA,Czech Republic
Ludek SELLER,Czech Republic
Michal NOVAK,Czech Republic
Eden CHENG,Great Britain
Lois TOULSON,Great Britain
Polly SWANN,Great Britain
Katrin BEIERL,Austria
Victoria HAHN,Austria
Oskars MELBARDIS,Latvia
Janis STRENGA,Latvia
Vladimir IVANOV,Russian Federation
Ivan SOZONOV,Russian Federation
Santiago GONZALEZ,Mexico
Miguel-Angel REYES-VARELA,Mexico
Vera BAZAROVA,Russian Federation
Yuri LARIONOV,Russian Federation
Christian OBERSTOLZ,Italy
Patrick GRUBER,Italy
Mike EVELYN,ROC
Kate SHORTMAN,Great Britain
Isabelle THORPE,Great Britain
Martine Steller MORTENSEN,Norway
Nicholas Fadler MARTINSEN,Norway
Maria MACHAVA,Mozambique
Denise PARRUQUE,Mozambique
Penny COOMES,Great Britain
Nicholas BUCKLAND,Great Britain
Ryan COCHRANE,Canada
Hugues FOURNEL,Canada
Michael FUCHS,Germany
Birgit MICHELS,Germany
Jacco ARENDS,Netherlands
Selena PIEK,Netherlands
Patrick BAUMGARTNER,Italy
Robert MIRCEA,Italy
Youngjin SUK,ROC
Hyeonggeun KIM,ROC
Etienne HUBERT,France
Guillaume BURGER,France
Lukas KLEIN,Slovakia
Filip POLASEK,Slovakia
Paul Constantin PEPENE,Romania
Alin Florin CIOANCA,Romania
Chunjian LI,People's Republic of China
Sidong WANG,People's Republic of China
Konstantin SEMENOV,Russian Federation
Elena ANYUSHINA,Russian Federation
Kira STEPANOVA,Russian Federation
Huixia LIU,People's Republic of China
Stefanie BOEHLER,Germany
Denise HERRMANN,Germany
Christian NICCUM,United States of America
Katarina Rose KOWPLOS,Australia
Dane SAMPSON,Australia
Irina ANDREEVA,ROC
Olesia ROMASENKO,ROC
Sander GILLE,Belgium
Joran VLIEGEN,Belgium
Lourdes HARTKOPF,Argentina
Maria Belen TAVELLA,Argentina
Arjun LAL JAT,India
Arvind SINGH,India
Meagan DUHAMEL,Canada
Eric RADFORD,Canada
Jordan WOOD,Australia
Daniel BOWKER,Australia
Yuliya BICHYK,Belarus
Tatsiana KUKHTA,Belarus
Agnieszka SKRZYPULEC,Poland
Irmina MROZEK-GLISZCZYNSKA,Poland
Simon FRIEDLI,Switzerland
Andreas HAAS,Switzerland
Maria MARTYNOVA,Belarus
Yury SHCHERBATSEVICH,Belarus
Shasha CHEN,People's Republic of China
Ye JIN,People's Republic of China
Mary RECKFORD,United States of America
Michelle SECHSER,United States of America
Adriana AILINCAI,Romania
Iuliana BUHUS,Romania
Marit BJOERGEN,Norway
Maiken Caspersen FALLA,Norway
Viktor MINIBAEV,Russian Federation
Nikita SHLEIKHER,Russian Federation
Christoph HAFER,Germany
Matthias SOMMER,Germany
Josef DOSTAL,Czech Republic
Radek SLOUF,Czech Republic
Sebastian MORA VEDRI,Italy
Albert TORRES BARCELO,Italy
Megan KALMOE,United States of America
Tracy EISSER,United States of America
Aileen CROWLEY,Ireland
Monika DUKARSKA,Ireland
Jian JIN,People's Republic of China
Hao SHI,People's Republic of China
Nicole LAIRD,Australia
Eduardo RUBIO RODRIGUEZ,Cuba
Adrian OQUENDO,Cuba
Eric MURRAY,New Zealand
Hamish BOND,New Zealand
Gael MONFILS,France
Jo-Wilfried TSONGA,France
Donghyun KIM,Republic of Korea
Jeong-Rin Jeon,Republic of Korea
Illya KVASHA,Ukraine
Oleksiy PRYGOROV,Ukraine
Alex BURGER,South Africa
Benjamin DANIEL,South Africa
Fintan MC CARTHY,Ireland
Paul ODONOVAN,Ireland
Zhiyu LIU,People's Republic of China
Liang ZHANG,People's Republic of China
Martti JYLHAE,Finland
Ristomatti HAKOLA,Finland
Drazen SILIC,Croatia
Benedikt NIKPALJ,Croatia
Henrique HADDAD,Brazil
Bruno BETHLEM,Brazil
Nitya Krishinda MAHESWARI,Indonesia
Greysia POLII,Indonesia
Thomaz BELLUCCI,Brazil
Andre SA,Brazil
Emil JOENSSON,Sweden
Teodor PETERSON,Sweden
Anastasia DOTSENKO,Russian Federation
Julia IVANOVA,Russian Federation
Barbora KREJCIKOVA,Czech Republic
Katerina SINIAKOVA,Czech Republic
Pavel SOZYKIN,People's Republic of China
