athlete_full_name,country_id,athlete_id
Stanislav KOVALOV,36.0,285
Ilya KONDRATEV,92.0,286
Andrey POTAPKIN,92.0,287
Alena PROCHAZKOVA,128.0,288
Barbora KLEMENTOVA,128.0,289
Marcus HELLNER,1.0,290
Calle HALFVARSSON,1.0,291
Ilse PAULIS,61.0,292
Maaike HEAD,61.0,293
Thanh Huyền Tạ ,17.0,294
Thị Lý Hồ,17.0,295
Helen GLOVER,131.0,296
Heather STANNING,131.0,297
Giulia CONTI,90.0,298
Francesca CLAPCICH,90.0,299
Yuan CAO,19.0,300
Kai QIN,19.0,301
Anabel MEDINA GARRIGUES,127.0,302
Arantxa PARRA-SANTONJA,127.0,303
Kiki BERTENS,61.0,304
Jean-Julien ROJER,61.0,305
Patrick FRANZISKA,29.0,306
Petrissa SOLJA,29.0,307
Liudmyla KICHENOK,36.0,308
Nadiia KICHENOK,36.0,309
Felice MUELLER,71.0,310
Grace LUCZAK,71.0,311
Amelia COZAD,71.0,312
Jessica PARRATTO,71.0,313
Kirsten MOORE-TOWERS,81.0,314
Dylan MOSCOVITCH,81.0,315
Ruolin CHEN,19.0,316
Hao WANG,19.0,317
Mun Yee LEONG,33.0,318
Natálie TASCHLEROVÁ,50.0,319
Filip TASCHLER,50.0,320
Paulina RAMANAUSKAITE,104.0,321
Deividas KIZALA,104.0,322
Sergey YEMELYANOV,82.0,323
Timofey YEMELYANOV,82.0,324
Diya SIDDIQUE,71.0,325
Md Ruman SHANA,71.0,326
Marieke KEIJSER,61.0,327
Martins PLAVINS,87.0,328
Edgars TOCS,87.0,329
Denis VOLOTKA,82.0,330
Adrian JUHASZ,9.0,331
Bela SIMON,9.0,332
Jennifer MARTINS,81.0,333
Nicole HARE,81.0,334
Vittorio BISSARO,90.0,335
Silvia SICOURI,90.0,336
Maksym DOLGOV,36.0,337
Oleksandr GORSHKOVOZOV,36.0,338
Nan ZHANG,19.0,339
Yunlei ZHAO,19.0,340
Eva LEE,71.0,341
Paula Lynn OBANANA,71.0,342
